Accession Number	Subject	Title	Author	Scribe	Date of the work	Date of the Ms.	Place of the work	Place of the Ms.	Size	Extent	Language	Script	Remarks	Observations
SDPB0476	Tantra Ritual	शतचण्डीविधान		इच्छाराम		V.S. 1807			7.7"x4.4"	19	Sanskrit	Devanagari		
SDPB0477	Vedic Ritual	होमप्रयोग							7.7"x4.4"	5	Sanskrit	Devanagari	Incomplete.	
SDPB0478	Architecture	कुण्डप्रदीप		इच्छाराम शिवराम		V.S. 1798			8.2"x4.8"	15	Sanskrit	Devanagari		
SDPB0479	Tantra Ritual	कार्तवीर्यार्जुननित्यपूजा	हरिकवि	दवे इच्छाराम		V.S. 1799			8"x4.8"	24	Sanskrit	Devanagari		
SDPB0480	Tantra Ritual	बटुकपूजाविधि							8.2"x4.8"	7	Sanskrit	Devanagari		
SDPB0481	Vedic Literature	कर्मप्रदीपभाष्य	आशादित्य मिश्र			V.S. 1555			11.1"x4.8"	200	Sanskrit	Devanagari		
SDPB0482	Philology	निघण्टुग्रन्थ							11"x4.6"	20	Sanskrit	Devanagari	Incomplete. Folios 106 are missing.	Check the translation of philology as निघण्टु
SDPB0483	Vedic Ritual	शाङ्खायनसूत्रपद्धति							10.8"x4.8"	32	Sanskrit	Devanagari	Incomplete. There are some folios missing, as the last folio has 42.	
SDPB0484	Vedic Ritual	शाङ्खायनसूत्रपद्धति							11"x4.8"	39	Sanskrit	Devanagari		
SDPB0485	Vedic Ritual	गृह्यकर्मग्रन्थ (सामवेदीय)							10.2"x4.6"	26	Sanskrit	Devanagari	Incomplete.	
SDPB0486	Vedic Ritual	शाङ्खायनसूत्रपद्धति (क्रतुरत्नमाला)	श्रीपतिपुत्र						11"x4.6"	36	Sanskrit	Devanagari		
SDPB0487	Vedic Ritual	शाङ्खायनसूत्रपद्धति							11.1"x4.8"	30	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0488	Dharmashastra	धर्मशास्त्रग्रन्थ							10.5"x4.5"	8	Sanskrit	Devanagari	Incomplete. Folio 1 is missing. Begins and ends abruptly.	
